"Qty";"Value";"Device";"Package";"Parts";"Description";"LCSC_PN";"MFG_PN";"PROD_ID";"TP_SIGNAL_NAME";"VALUE";
"2";"";"LEDCHIP-LED0603";"CHIP-LED0603";"BAT_LED, PANEL_LED";"LED";"";"";"";"";"";
"2";"";"PINHD-1X10";"1X10";"JP2, JP3";"PIN HEADER";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"JP1";"PIN HEADER";"";"";"";"";"";
"1";"0R016";"R-EU_R1206";"R1206";"R6";"RESISTOR, European symbol";"";"";"";"";"";
"1";"0R02";"R-EU_R1206";"R1206";"R4";"RESISTOR, European symbol";"";"";"";"";"";
"1";"100K";"R-EU_R0402";"R0402";"R9";"RESISTOR, European symbol";"";"";"";"";"";
"5";"100R";"R-EU_R0402";"R0402";"R3, R5, R7, R13, R26";"RESISTOR, European symbol";"";"";"";"";"";
"10";"100n";"C-EUC0402";"C0402";"C2, C3, C4, C7, C8, C10, C12, C17, C19, C20";"CAPACITOR, European symbol";"";"";"";"";"";
"5";"10K";"R-EU_R0402";"R0402";"R20, R21, R22, R27, R29";"RESISTOR, European symbol";"";"";"";"";"";
"1";"10K";"R-EU_R0603";"R0603";"R16";"RESISTOR, European symbol";"";"";"";"";"";
"1";"10R";"R-EU_R0402";"R0402";"R19";"RESISTOR, European symbol";"";"";"";"";"";
"1";"10n";"C-EUC0402";"C0402";"C16";"CAPACITOR, European symbol";"";"";"";"";"";
"3";"10u";"C-EUC1206";"C1206";"C1, C5, C11";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"10u";"INDUCTORMWSA1205";"MWSA1205";"L1";"";"";"";"";"";"";
"1";"1K";"R-EU_R0402";"R0402";"R18";"RESISTOR, European symbol";"";"";"";"";"";
"1";"1K5";"R-EU_R0402";"R0402";"R15";"RESISTOR, European symbol";"";"";"";"";"";
"3";"1u";"C-EUC0402";"C0402";"C13, C14, C15";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"20K";"R-EU_R0402";"R0402";"R11";"RESISTOR, European symbol";"";"";"";"";"";
"1";"22p";"C-EUC0402";"C0402";"C9";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"27K";"R-EU_R0402";"R0402";"R23";"RESISTOR, European symbol";"";"";"";"";"";
"1";"2PT_GND_TIE";"2PT_GND_TIE";"2PT_GND_TIE";"SUPPLY1";"Dual Ground Supply";"";"";"";"";"";
"1";"2R";"R-EU_R1206";"R1206";"R14";"RESISTOR, European symbol";"";"";"";"";"";
"1";"2S-BATTERYSMD";"2S-BATTERYSMD";"JST-XH3-SMD";"J1";"JST XH connector for a 2S LiPo battery with balancing";"";"";"";"";"";
"1";"2u2";"C-EUC0603";"C0603";"C18";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"300K";"R-EU_R0402";"R0402";"R12";"RESISTOR, European symbol";"";"";"";"";"";
"2";"330R";"R-EU_R0402";"R0402";"R25, R28";"RESISTOR, European symbol";"";"";"";"";"";
"1";"4K7";"R-EU_R0402";"R0402";"R24";"RESISTOR, European symbol";"";"";"";"";"";
"2";"4R7";"R-EU_R1206";"R1206";"R8, R10";"RESISTOR, European symbol";"";"";"";"";"";
"1";"4u7";"C-EUC1206";"C1206";"C6";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"5K1";"R-EU_R0402";"R0402";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"";
"1";"82K";"R-EU_R0603";"R0603";"R17";"RESISTOR, European symbol";"";"";"";"";"";
"4";"AO3400A";"AO3400A";"SOT23";"Q2, Q3, Q4, Q5";"";"";"";"";"";"";
"1";"AO3400A";"MOSFET-NCH-BSS138";"SOT23-3";"Q6";"N-channel MOSFETs";"";"";"TRANS-00830";"";"220mA/50V/3.5Ω";
"1";"BAS70-04";"DIODE-SCHOTTKY-ZLLS500";"SOT23-3";"D2";"Schottky diode";"";"";"DIO-08411";"";"700mA/40V/533mV";
"1";"BQ24650";"BQ24650";"QFN16";"U4";"TI LiPo charger with MPPT";"";"";"";"";"";
"1";"BQ34Z100-G1";"BQ34Z100-G1";"TSSOP14";"U2";"";"C91302";"BQ34Z100PWR-G1";"";"";"";
"1";"FS8205";"FS8205";"SOT23-6L";"Q1";"";"";"";"";"";"";
"2";"HY2213";"HY2213";"SOT23-6L";"U1, U3";"";"C113632";"HY2213-BB3A";"";"";"";
"2";"MOUNT-PAD-ROUND2.8";"MOUNT-PAD-ROUND2.8";"2,8-PAD";"H1, H2";"MOUNTING PAD, round";"";"";"";"";"";
"1";"R5460X2XX";"R5460X2XX";"SOT23-6L";"U5";"";"C259719";"";"";"";"";
"2";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"STAT1, STAT2";"LED";"";"";"";"";"";
"1";"SCHOTTKY-SOD128";"SCHOTTKY-SOD128";"SOD-128";"D1";"";"";"";"";"";"";
"5";"TPPAD1-13Y";"TPPAD1-13Y";"P1-13Y";"BAL, BAT, P+, P-, RET";"Test pad";"";"";"";"";"";
