Designator,Layer,MidX,MidY,Rotation
BAT_LED,Top,48.3,4.4,270
C1,Top,33.7,21,180
C2,Top,47,21,0
C3,Top,49.5,21,0
C4,Top,49.5,19.1,0
C5,Top,10.2,18.4,90
C6,Top,33.7,18.4,180
C7,Top,45.1,15.9,90
C8,Top,33.7,14,0
C9,Top,36.8,12.4,180
C10,Top,45.1,10.8,90
C11,Top,10.2,9.5,270
C12,Top,43.2,8.3,270
C13,Top,45.1,8.3,270
C14,Top,14.6,7.6,0
C15,Top,25.4,7.6,180
C16,Top,55.9,7.6,270
C17,Top,25.4,5.7,0
C18,Top,7,5.1,270
C19,Top,54,5.1,90
C20,Top,54,2.5,90
D1,Top,8.3,14,0
D2,Top,21.6,5.7,90
L1,Top,24.1,15.9,0
PANEL_LED,Top,2.5,5.1,180
Q1,Top,58.4,19.7,0
Q2,Top,14.6,17.8,90
Q3,Top,53.3,15.2,90
Q4,Top,14.6,14,90
Q5,Top,53.3,11.4,90
Q6,Top,17.8,5.7,270
R1,Top,39.4,21,90
R2,Top,41.3,21,90
R3,Top,52.1,21,180
R4,Top,54.6,19.7,270
R5,Top,52.1,19.1,180
R6,Top,33.7,15.9,0
R7,Top,47,15.9,270
R8,Top,58.3,14.6,0
R9,Top,36.8,14,180
R10,Top,58.3,12.1,0
R11,Top,14.6,11.4,180
R12,Top,36.8,10.9,0
R13,Top,47,10.8,270
R14,Top,7,9.5,90
R15,Top,14.6,9.5,180
R16,Top,39.4,8,90
R17,Top,41.3,8,270
R18,Top,54,7.6,270
R19,Top,29.2,7.6,0
R20,Top,14.6,5.7,0
R21,Top,32.4,5.7,0
R22,Top,4.4,5.1,90
R23,Top,39.4,5.1,270
R24,Top,41.3,5.1,90
R25,Top,55.9,5.1,90
R26,Top,14.6,3.8,180
R27,Top,32.4,3.8,0
R28,Top,55.9,2.6,270
R29,Top,48.3,2.5,0
STAT1,Top,29.2,5.7,270
STAT2,Top,29.2,3.8,270
U1,Top,49.5,15.9,180
U2,Top,41.3,13.3,0
U3,Top,49.5,10.8,180
U4,Top,33.7,10.2,90
U5,Top,58.4,7.6,180
